Unnamed: 0;LVL;Kanji;Lecture ON;Lecture KUN;Signification
853;N2;被;ヒ;"こうむ.る, おお.う, か
ぶ.る";"subir, recevoir, recouvrir, porter sur la tête,
souffrir, victime"
854;N2;装;ソウ, ショウ;よそお.う;se revêtir, orner, s'habiller
855;N2;裏;リ;うら;opposé, revers, arrière
856;N2;補;ホ;おぎな.う;assister, compléter, assistant, complément
857;N2;製;セイ;-;fabriqué en, fabrication
858;N2;複;フク;-;multiple, répétitif, composé, compliqué
859;N5;西;セイ;にし;Ouest
860;N3;要;ヨウ;い.る;besoin, nécessité, avoir de de
861;N5;見;ケン;み.る, み.える, み.せる;regarder, voir
862;N3;規;キ;-;norme, standard, règle
863;N3;覚;カク;"おぼ.える, さ.ます, さ.
める, さと.る";se rappeler de, mémoriser, réveil
864;N4;親;シン;"おや, した.しい, した.
しむ";parents, familié, se familiariser avec
865;N3;観;カン;み.る;voir, vue, aspect, apparence
866;N2;角;カク;かど;angle, coin
868;N3;解;カイ, ゲ;と.く, , ほど.く;comprendre, résoudre, explication
869;N2;触;ショク;ふ.れる, さわ.る;toucher, contact, annoncer
870;N5;言;ゲン, ゴン;い.う;dire, parler
871;N4;計;ケイ;はか.る, はか.らう;mesurer, peser, penser à, traiter, gérer
872;N2;訓;クン;おし.える;"lecture japonaise (pour les kanjis), précepte,
explication"
873;N3;記;キ;しる.す;récit, narration, narrer, raconter
874;N3;訪;ホウ;たず.ねる;rendre visite
875;N2;設;セツ;もう.ける;établir, fonder, créer
876;N3;許;キョ;ゆる.す, もと;pardonner, permettre, autoriser
877;N2;評;ヒョウ;-;critiquer, commenter, évaluer
878;N2;詞;シ;-;mot, terme
879;N4;試;シ;こころ.みる, ため.す;essayer, tenter, essai, tentative
880;N2;詰;キツ, キチ;つ.める;fermé, compact, réprimande, blâme
881;N5;話;ワ;はな.す, はなし;parler, histoire
882;N2;誌;シ;-;revue, magazine, document
883;N3;認;ニン;みと.める;reconnaître, approuver, admettre
884;N5;語;ゴ;かた.る, かた.らう;langage, mot, raconter
885;N4;説;セツ, ゼイ;と.く;convaincre, persuader, opinion, rumeur
886;N5;読;ドク, トク;よ.む;lire
887;N2;課;カ;-;chapître, section, partie
888;N3;調;チョウ;しら.べる;"harmonie, rassembler des informations,
enquêter"
889;N3;談;ダン;-;propos, conversation, discuter
890;N3;論;ロン;-;argument, discours, thèse
891;N2;諸;ショ;もろ;divers, multiple, plusieurs
892;N2;講;コウ;-;cours, club, association
893;N3;識;シキ;しる.す;connaissance, discernement
894;N3;警;ケイ;いまし.める;faire des reproches, avertir, mettre en garde
895;N3;議;ギ;-;entretien, délibération, débat
896;N2;谷;コク;たに;vallée
897;N2;豊;ホウ, ブ;ゆた.か, とよ;fertile, abondance, riche
898;N2;象;ゾウ, ショウ;かたど.る;éléphant, image, forme, phénomène
899;N2;貝;バイ;かい;coquillage
900;N3;負;フ;ま.ける;défaite, perdre, devoir à quelqu'un
902;N3;財;ザイ, サイ;たから;argent, fortune
903;N3;貧;ヒン, ビン;まず.しい;pauvre, pauvreté
904;N2;貨;カ;たから;frêt, bien
905;N2;販;ハン;-;vente, commercialisation
906;N3;責;セキ;せ.める;blâmer, réprimander
907;N2;貯;チョ;た.める, たくわ.える;mettre de côté, stocker, économie, épargne
908;N5;買;バイ;か.う;acheter
909;N4;貸;タイ;か.す;prêter, louer
910;N3;費;ヒ;つい.やす, つい.える;dépenser, être dépensé, coût
911;N2;貿;ボウ;-;commerce, échange
912;N2;賃;チン;-;tarif, frais, charge (monétaire)
913;N3;資;シ;-;ressource, capital monétaire, fonds
914;N3;賛;サン;たす.ける, たた.える;louange, approbation, approuver
915;N2;賞;ショウ;ほ.める;récompense, faire l'éloge de
